recipient_iso3_code,2017,2018,2019,2020,2021,2022
SYR,18983373,19333463,20098251,20772595,21324367,22125249
TJK,8925525,9128132,9337003,9543207,9750064,9952787
TZA,56267032,58090443,59872579,61704518,63588334,65497748
THA,70898202,71127802,71307763,71475664,71601103,71697030
TLS,1243235,1261845,1280438,1299995,1320942,1341296
TGO,7852795,8046679,8243094,8442580,8644829,8848699
TON,105415,105150,104951,105254,106017,106858
TTO,1478607,1504709,1519955,1518147,1525663,1531044
TUN,11811443,11933041,12049314,12161723,12262946,12356117
TUR,80312698,81407204,82579440,83384680,84147318,84979913
TKM,5968383,6065066,6158420,6250438,6341855,6430770
TCA,39844,41487,43080,44276,45114,45703
TUV,10828,10865,10956,11069,11204,11312
UGA,40127085,41515395,42949080,44404611,45853778,47249585
UKR,44831135,44622518,44386203,44132049,43822901,38000000
ARE,9068296,9140169,9211657,9287289,9365145,9441129
GBR,66058859,66460344,66836327,67081234,67026292,66971395
USA,325122128,326838199,328329953,331511512,332031554,333287557
URY,3422200,3427042,3428409,3429086,3426260,3422794
UZB,32388600,32956100,33580350,34232050,34915100,35648100
VUT,290239,297298,304404,311685,319137,326740
VEN,30563433,29825653,28971683,28490453,28199867,28301696
VNM,94033048,94914330,95776716,96648685,97468029,98186856
VIR,107281,107001,106669,106290,105870,105413
PSE,4454805,4569087,4685306,4803269,4922749,5043612
YEM,30034389,30790513,31546691,32284046,32981641,33696614
ZMB,17298054,17835893,18380477,18927715,19473125,20017675
ZWE,14751101,15052184,15354608,15669666,15993524,16320537
AFE,632746570,649757148,667242986,685112979,702977106,720859132
AFW,431138704,442646825,454306063,466189102,478185907,490330870
ARB,423664839,432545676,441467739,449228296,456520777,464684914
CSS,7303634,7374650,7424102,7444768,7481877,7505478
CEB,102740078,102538451,102398537,102180124,101413176,100108221
EAR,3250752755,3292896609,3334561751,3374383528,3411268373,3447398652
EAS,2327132966,2341383691,2353856866,2363934334,2370189840,2375162207
EAP,2080919319,2094524854,2106391925,2116378687,2123628421,2129112126
TEA,2055414680,2068898629,2080648616,2090523535,2097669023,2103055378
EMU,345370612,346153001,346517987,346961127,346942979,348331511
ECS,914078289,917380453,920277481,922353365,923564027,920375568
ECA,394705361,396674671,398690076,400061023,401682855,397824705
TEC,456393433,458211234,460092452,461273023,462431038,457549063
EUU,446215182,447001100,447367191,447692315,447178112,447370510
FCS,916427867,936721531,957785553,979763631,1001844479,1019139254
HPC,770390212,792615894,815100831,838066650,861156745,884288332
HIC,1225544265,1231508785,1236709936,1241718902,1241268556,1244364814
IBD,4753252242,4794555928,4832928887,4867091692,4895372787,4913887020
IBT,6399653365,6477695468,6553978299,6627317499,6695487825,6754029970
IDB,547984961,559155599,570633332,582637127,595016031,607735968
IDX,1098416162,1123983941,1150416080,1177588680,1205099007,1232406982
IDA,1646401123,1683139540,1721049412,1760225807,1800115038,1840142950
LTE,2286627723,2298987594,2309491804,2317277554,2322606486,2325542891
LCN,633797190,639628226,645295804,650534986,654980630,659310564
LAC,570381211,576620516,582701622,588011178,592503434,596596955
TLA,617875842,623841282,629515571,634680385,639188695,643602758
LDC,998532743,1022731692,1047426093,1072970944,1098791080,1124396999
LMY,6320334263,6399036689,6476092964,6549996251,6618837270,6678280291
LIC,613946858,630865826,648755452,667053670,685250041,703727949
LMC,2990172548,3033153113,3075311775,3117225754,3157462375,3190184199
MEA,456885486,465073490,473201775,479966649,486174763,493279469
MNA,391607422,398375344,405259403,411810124,418047201,424328381
TMN,387152617,393806257,400574097,407006855,413124452,419284769
